# TOPAS Version: 3.9_expanded
# Parameter File: DoseVolumeHistogram.txt
# Results for Scorer: DoseAtPhantom
# Scored in component: Phantom
# Cumulative Volume Histogram over number of voxels: 1000
# BinNumber, LowerLimit of DoseToMedium ( Gy ), Value
0, 0, 1
1, 1e-06, 0
2, 2e-06, 0
3, 3e-06, 0
4, 4e-06, 0
5, 5e-06, 0
6, 6e-06, 0
7, 7e-06, 0
8, 8e-06, 0
9, 9e-06, 0
10, 9.999999999999999e-06, 0
11, 1.1e-05, 0
12, 1.2e-05, 0
13, 1.3e-05, 0
14, 1.4e-05, 0
15, 1.5e-05, 0
16, 1.6e-05, 0
17, 1.7e-05, 0
18, 1.8e-05, 0
19, 1.9e-05, 0
20, 2e-05, 0
21, 2.1e-05, 0
22, 2.2e-05, 0
23, 2.3e-05, 0
24, 2.4e-05, 0
25, 2.5e-05, 0
26, 2.6e-05, 0
27, 2.7e-05, 0
28, 2.8e-05, 0
29, 2.9e-05, 0
30, 3e-05, 0
31, 3.1e-05, 0
32, 3.2e-05, 0
33, 3.3e-05, 0
34, 3.4e-05, 0
35, 3.5e-05, 0
36, 3.6e-05, 0
37, 3.7e-05, 0
38, 3.8e-05, 0
39, 3.9e-05, 0
40, 4e-05, 0
41, 4.1e-05, 0
42, 4.2e-05, 0
43, 4.299999999999999e-05, 0
44, 4.4e-05, 0
45, 4.5e-05, 0
46, 4.6e-05, 0
47, 4.7e-05, 0
48, 4.8e-05, 0
49, 4.9e-05, 0
50, 5e-05, 0
51, 5.1e-05, 0
52, 5.2e-05, 0
53, 5.3e-05, 0
54, 5.4e-05, 0
55, 5.5e-05, 0
56, 5.6e-05, 0
57, 5.7e-05, 0
58, 5.8e-05, 0
59, 5.9e-05, 0
60, 5.999999999999999e-05, 0
61, 6.1e-05, 0
62, 6.2e-05, 0
63, 6.3e-05, 0
64, 6.4e-05, 0
65, 6.499999999999999e-05, 0
66, 6.599999999999999e-05, 0
67, 6.7e-05, 0
68, 6.8e-05, 0
69, 6.9e-05, 0
70, 6.999999999999999e-05, 0
71, 7.099999999999999e-05, 0
72, 7.2e-05, 0
73, 7.3e-05, 0
74, 7.4e-05, 0
75, 7.499999999999999e-05, 0
76, 7.599999999999999e-05, 0
77, 7.7e-05, 0
78, 7.8e-05, 0
79, 7.9e-05, 0
80, 7.999999999999999e-05, 0
81, 8.099999999999999e-05, 0
82, 8.2e-05, 0
83, 8.3e-05, 0
84, 8.4e-05, 0
85, 8.499999999999999e-05, 0
86, 8.599999999999999e-05, 0
87, 8.7e-05, 0
88, 8.8e-05, 0
89, 8.899999999999999e-05, 0
90, 8.999999999999999e-05, 0
91, 9.099999999999999e-05, 0
92, 9.2e-05, 0
93, 9.3e-05, 0
94, 9.399999999999999e-05, 0
95, 9.499999999999999e-05, 0
96, 9.6e-05, 0
97, 9.7e-05, 0
98, 9.8e-05, 0
99, 9.899999999999999e-05, 0
